country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","18-04-2026 22:00:00",26.031443,76.359327,OZONE,11,230,105
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","18-04-2026 22:00:00",27.608912,75.153302,PM2.5,6,110,46
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","18-04-2026 22:00:00",24.885261,72.857549,SO2,4,7,5
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB","18-04-2026 22:00:00",24.885261,72.857549,CO,3,21,7
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB","18-04-2026 22:00:00",26.960669,75.771817,PM10,42,233,120
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","18-04-2026 22:00:00",26.9502929,75.730943,NH3,7,27,11
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB","18-04-2026 22:00:00",26.9502929,75.730943,SO2,3,50,24
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","18-04-2026 22:00:00",26.912329,70.909168,NO2,10,35,19
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","18-04-2026 22:00:00",26.912329,70.909168,SO2,1,3,2
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","18-04-2026 22:00:00",25.344694,72.626208,PM10,29,124,70
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","18-04-2026 22:00:00",25.344694,72.626208,NH3,NA,NA,NA
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","18-04-2026 22:00:00",25.344694,72.626208,CO,12,94,39
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","18-04-2026 22:00:00",24.588397,76.172782,NH3,6,13,9
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","18-04-2026 22:00:00",24.588397,76.172782,CO,24,131,111
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","18-04-2026 22:00:00",28.108988,75.386577,PM2.5,12,114,51
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","18-04-2026 22:00:00",13.0052189,80.2398125,NH3,2,3,3
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","18-04-2026 22:00:00",10.942451,76.978996,PM2.5,28,98,60
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","18-04-2026 22:00:00",13.4127,80.1081,SO2,17,26,20
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB","18-04-2026 22:00:00",9.865935,78.022669,SO2,53,56,54
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB","18-04-2026 22:00:00",9.865935,78.022669,OZONE,1,1,1
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB","18-04-2026 22:00:00",9.36399,78.831977,OZONE,3,4,4
